,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRBRWSS,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRB,Pos. CBCFCMDMGKLBRBRW,"Contract Expiration Jun 23, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027","Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2031",Years Remaining 123459,Pos. AMCBCFCMGKLBLWRBRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028Jun 30, 2029",Years Remaining 1234567
339,Luiz Felipe,"€ 112,115","€ 5,830,000",,"Jul 4, 2022",,,"€ 29,150,000",,D,,25.0,Reserve,Italy,,,Real Betis,La Liga,2022-2023,,CB,,,,,,,,,,"Jun 30, 2027",5.0
340,Germán Pezzella,"€ 80,192","€ 4,170,000",,"Aug 19, 2021",,,"€ 12,510,000",,D,,31.0,Starter,Argentina,,,Real Betis,La Liga,2022-2023,,CB,,,,,,,,,,"Jun 30, 2025",3.0
341,Willian José,"€ 57,692","€ 3,000,000",,"Jul 1, 2022",,,"€ 12,000,000",,F,,31.0,Reserve,Brazil,,,Real Betis,La Liga,2022-2023,,CF,,,,,,,,,,"Jun 30, 2026",4.0
342,Juanmi,"€ 53,077","€ 2,760,000",,"Jan 3, 2023",,,"€ 11,040,000",,F,,29.0,Starter,Spain,,,Real Betis,La Liga,2022-2023,,LW,,,,,,,,,,"Jun 30, 2026",4.0
343,Guido Rodríguez,"€ 51,538","€ 2,680,000",,"Jan 14, 2020",,,"€ 5,360,000",,M,,28.0,Starter,Argentina,,,Real Betis,La Liga,2022-2023,,DM,,,,,,,,,,"Jun 30, 2024",2.0
344,Ayoze Pérez,"€ 50,000","€ 2,600,000",,"Jan 31, 2023",,,"€ 2,600,000",,F,,29.0,Reserve,Spain,,,Real Betis,La Liga,2022-2023,,SS,,,,,,,,,,"Jun 30, 2023",1.0
345,Martín Montoya,"€ 38,269","€ 1,990,000",,"Aug 25, 2020",,,"€ 3,980,000",,D,,31.0,Reserve,Spain,,,Real Betis,La Liga,2022-2023,,RB,,,,,,,,,,"Jun 30, 2024",2.0
346,Andrés Guardado,"€ 36,731","€ 1,910,000",,"Mar 24, 2022",,,"€ 1,910,000",,M,,36.0,Starter,Mexico,,,Real Betis,La Liga,2022-2023,,CM,,,,,,,,,,"Jun 30, 2023",1.0
347,William Carvalho,"€ 33,654","€ 1,750,000",,"Sep 2, 2022",,,"€ 7,000,000",,M,,30.0,Reserve,Portugal,,,Real Betis,La Liga,2022-2023,,DM,,,,,,,,,,"Jun 30, 2026",4.0
348,Claudio Bravo,"€ 30,769","€ 1,600,000",,"Apr 5, 2022",,,"€ 1,600,000",,K,,39.0,Reserve,Chile,,,Real Betis,La Liga,2022-2023,,GK,,,,,,,,,,"Jun 30, 2023",1.0
349,Joaquín,"€ 27,692","€ 1,440,000",,"Jul 6, 2022",,,"€ 1,440,000",,F,,41.0,Reserve,Spain,,,Real Betis,La Liga,2022-2023,,RW,,,,,,,,,,"Jun 30, 2023",1.0
350,Sergio Canales,"€ 26,346","€ 1,370,000",,"Dec 14, 2021",,,"€ 5,480,000",,F,,31.0,Starter,Spain,,,Real Betis,La Liga,2022-2023,,AM,,,,,,,,,,"Jun 30, 2026",4.0
351,Borja Iglesias,"€ 24,808","€ 1,290,000",,"Dec 27, 2021",,,"€ 5,160,000",,F,,30.0,Starter,Spain,,,Real Betis,La Liga,2022-2023,,CF,,,,,,,,,,"Jun 30, 2026",4.0
352,Víctor Ruiz,"€ 17,885","€ 930,000",,"Jun 4, 2021",,,"€ 930,000",,D,,34.0,Reserve,Spain,,,Real Betis,La Liga,2022-2023,,CB,,,,,,,,,,"Jun 30, 2023",1.0
353,Youssouf Sabaly,"€ 14,423","€ 750,000",,"Jul 1, 2021",,,"€ 3,000,000",,D,,29.0,Starter,Senegal,,,Real Betis,La Liga,2022-2023,,RB,,,,,,,,,,"Jun 30, 2026",4.0
354,Paul Akouokou,"€ 9,808","€ 510,000",,"Sep 10, 2020",,,"€ 1,020,000",,M,,25.0,Reserve,Cote d'Ivoire,,,Real Betis,La Liga,2022-2023,,DM,,,,,,,,,,"Jun 30, 2024",2.0
355,Luiz Henrique,"€ 9,231","€ 480,000",,"Jul 1, 2022",,,"€ 2,880,000",,F,,22.0,Reserve,Brazil,,,Real Betis,La Liga,2022-2023,,RW,,,,,,,,,,"Jun 30, 2028",6.0
356,Aitor Ruibal,"€ 8,462","€ 440,000",,"Jun 9, 2021",,,"€ 1,320,000",,D,,26.0,Reserve,Spain,,,Real Betis,La Liga,2022-2023,,RB,,,,,,,,,,"Jun 30, 2025",3.0
357,Rodri,"€ 7,692","€ 400,000",,"Jan 19, 2022",,,"€ 1,600,000",,F,,22.0,Starter,Spain,,,Real Betis,La Liga,2022-2023,,LW,,,,,,,,,,"Jun 30, 2026",4.0
358,Juan Miranda,"€ 6,923","€ 360,000",,"Jul 1, 2021",,,"€ 720,000",,D,,23.0,Reserve,Spain,,,Real Betis,La Liga,2022-2023,,LB,,,,,,,,,,"Jun 30, 2024",2.0
359,Dani Martín,"€ 6,731","€ 350,000",,"Jul 18, 2019",,,"€ 700,000",,K,,24.0,Reserve,Spain,,,Real Betis,La Liga,2022-2023,,GK,,,,,,,,,,"Jun 30, 2024",2.0
360,Edgar González,"€ 4,808","€ 250,000",,"Mar 29, 2022",,,"€ 750,000",,D,,25.0,Starter,Spain,,,Real Betis,La Liga,2022-2023,,CB,,,,,,,,,,"Jun 30, 2025",3.0
361,Rui Silva,"€ 2,981","€ 155,000",,"Jul 1, 2021",,,"€ 620,000",,K,,28.0,Starter,Portugal,,,Real Betis,La Liga,2022-2023,,GK,,,,,,,,,,"Jun 30, 2026",4.0
362,Abner,€ 0,€ 0,,"Jan 15, 2023",,,€ 0,,D,,22.0,Starter,Brazil,,,Real Betis,La Liga,2022-2023,,LB,,,,,,,,,,"Jun 30, 2029",7.0
363,Juan Cruz,€ 0,€ 0,,"Oct 21, 2022",,,€ 0,,F,,22.0,Reserve,Spain,,,Real Betis,La Liga,2022-2023,,RW,,,,,,,,,,"Jun 30, 2025",3.0
364,Total,"€ 844,519","€ 43,915,000",€ 0,,,,"€ 140,370,000",€ 0,,,,,,,,Real Betis,La Liga,2022-2023,,,,,,,,,,,,,
365,Eden Hazard,"€ 600,962","€ 31,250,000",,"Jul 1, 2019","Jun 30, 2024",2.0,"€ 62,500,000","€ 250,000,000",F,,32.0,Reserve,Belgium,,,Real Madrid,La Liga,2022-2023,,,,,LW,,,,,,,,
366,Toni Kroos,"€ 468,846","€ 24,380,000",,"May 20, 2019","Jun 30, 2023",1.0,"€ 24,380,000","€ 500,000,000",M,,33.0,Starter,Germany,,,Real Madrid,La Liga,2022-2023,,,,,CM,,,,,,,,
367,Karim Benzema,"€ 461,538","€ 24,000,000",,"Aug 20, 2021","Jun 30, 2023",1.0,"€ 24,000,000","€ 1,000,000,000",F,,35.0,Starter,France,,,Real Madrid,La Liga,2022-2023,,,,,CF,,,,,,,,
368,David Alaba,"€ 432,692","€ 22,500,000",,"Jul 1, 2021","Jun 30, 2026",4.0,"€ 90,000,000","€ 850,000,000",D,,30.0,Reserve,Austria,,,Real Madrid,La Liga,2022-2023,,,,,CB,,,,,,,,
369,Luka Modric,"€ 420,769","€ 21,880,000",,"Jun 8, 2022","Jun 30, 2023",1.0,"€ 21,880,000","€ 750,000,000",M,,37.0,Starter,Croatia,,,Real Madrid,La Liga,2022-2023,,,,,CM,,,,,,,,
370,Vinicius Junior,"€ 400,577","€ 20,830,000",,"Jul 12, 2018","Jun 30, 2024",2.0,"€ 41,660,000","€ 1,000,000,000",F,,22.0,Starter,Brazil,,,Real Madrid,La Liga,2022-2023,,,,,LW,,,,,,,,
371,Thibaut Courtois,"€ 288,462","€ 15,000,000",,"Aug 16, 2021","Jun 30, 2026",4.0,"€ 60,000,000","€ 700,000,000",K,,30.0,Starter,Belgium,,,Real Madrid,La Liga,2022-2023,,,,,GK,,,,,,,,
372,Antonio Rüdiger,"€ 280,385","€ 14,580,000","€ 4,170,000","Jul 1, 2022","Jun 30, 2026",4.0,"€ 58,320,000","€ 400,000,000",D,,29.0,Starter,Germany,,,Real Madrid,La Liga,2022-2023,,,,,CB,,,,,,,,
373,Aurélien Tchouameni,"€ 240,385","€ 12,500,000",,"Jul 1, 2022","Jun 30, 2028",6.0,"€ 75,000,000",,M,,23.0,Reserve,France,,,Real Madrid,La Liga,2022-2023,,,,,DM,,,,,,,,
374,Ferland Mendy,"€ 200,385","€ 10,420,000",,"Jul 1, 2019","Jun 30, 2025",3.0,"€ 31,260,000",,D,,27.0,Reserve,France,,,Real Madrid,La Liga,2022-2023,,,,,LB,,,,,,,,
375,Daniel Carvajal,"€ 200,385","€ 10,420,000",,"Jul 29, 2021","Jun 30, 2025",3.0,"€ 31,260,000","€ 350,000,000",D,,31.0,Reserve,Spain,,,Real Madrid,La Liga,2022-2023,,,,,RB,,,,,,,,
376,Marco Asensio,"€ 189,038","€ 9,830,000",,"Sep 28, 2017","Jun 30, 2023",1.0,"€ 9,830,000","€ 700,000,000",F,,27.0,Reserve,Spain,,,Real Madrid,La Liga,2022-2023,,,,,RW,,,,,,,,
377,Lucas Vázquez,"€ 180,385","€ 9,380,000",,"Jun 3, 2021","Jun 30, 2024",2.0,"€ 18,760,000","€ 150,000,000",D,,31.0,Reserve,Spain,,,Real Madrid,La Liga,2022-2023,,,,,RB,,,,,,,,
378,Nacho Fernández,"€ 164,231","€ 8,540,000",,"Jul 8, 2021","Jun 30, 2023",1.0,"€ 8,540,000","€ 200,000,000",D,,33.0,Starter,Spain,,,Real Madrid,La Liga,2022-2023,,,,,CB,,,,,,,,
379,Eduardo Camavinga,"€ 160,192","€ 8,330,000",,"Aug 31, 2021","Jun 30, 2027",5.0,"€ 41,650,000","€ 700,000,000",M,,20.0,Starter,France,,,Real Madrid,La Liga,2022-2023,,,,,CM,,,,,,,,
380,Rodrygo,"€ 160,192","€ 8,330,000",,"Jul 1, 2019","Jun 30, 2025",3.0,"€ 24,990,000","€ 1,000,000,000",F,,22.0,Starter,Brazil,,,Real Madrid,La Liga,2022-2023,,,,,RW,,,,,,,,
381,Mariano Díaz,"€ 160,192","€ 8,330,000",,"Aug 29, 2018","Jun 30, 2023",1.0,"€ 8,330,000",,F,,29.0,Reserve,Dominican Republic,,,Real Madrid,La Liga,2022-2023,,,,,CF,,,,,,,,
382,Federico Valverde,"€ 156,346","€ 8,130,000",,"Aug 24, 2021","Jun 30, 2027",5.0,"€ 40,650,000","€ 1,000,000,000",M,,24.0,Starter,Uruguay,,,Real Madrid,La Liga,2022-2023,,,,,CM,,,,,,,,
383,Álvaro Odriozola,"€ 140,192","€ 7,290,000",,"Jul 5, 2018","Jun 30, 2024",2.0,"€ 14,580,000",,D,,27.0,Reserve,Spain,,,Real Madrid,La Liga,2022-2023,,,,,RB,,,,,,,,
384,Éder Militão,"€ 140,192","€ 7,290,000","€ 1,040,000","Jul 1, 2019","Jun 30, 2025",3.0,"€ 21,870,000","€ 500,000,000",D,,25.0,Starter,Brazil,,,Real Madrid,La Liga,2022-2023,,,,,CB,,,,,,,,
385,Dani Ceballos,"€ 60,192","€ 3,130,000",,"Jul 14, 2017","Jun 30, 2023",1.0,"€ 3,130,000",,M,,26.0,Reserve,Spain,,,Real Madrid,La Liga,2022-2023,,,,,CM,,,,,,,,
386,Andriy Lunin,"€ 54,038","€ 2,810,000",,"Jul 1, 2018","Jun 30, 2024",2.0,"€ 5,620,000",,K,,23.0,Reserve,Ukraine,,,Real Madrid,La Liga,2022-2023,,,,,GK,,,,,,,,
387,Jesús Vallejo,"€ 34,615","€ 1,800,000",,"Jul 31, 2015","Jun 30, 2025",3.0,"€ 5,400,000",,D,,26.0,Reserve,Spain,,,Real Madrid,La Liga,2022-2023,,,,,CB,,,,,,,,
388,Total,"€ 5,595,191","€ 290,950,000","€ 5,210,000",,,,"€ 723,610,000","€ 10,050,000,000",,,,,,,,Real Madrid,La Liga,2022-2023,,,,,,,,,,,,,
389,Asier Illarramendi,"€ 83,846","€ 4,360,000",,"Jun 28, 2018","Jun 30, 2023",1.0,"€ 4,360,000",,M,,32.0,Starter,Spain,,,Real Sociedad,La Liga,2022-2023,DM,,,,,,,,,,,,
390,Mikel Merino,"€ 75,192","€ 3,910,000",,"Jul 22, 2020","Jun 30, 2025",3.0,"€ 11,730,000",,M,,26.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,CM,,,,,,,,,,,,
391,Mikel Oyarzabal,"€ 67,885","€ 3,530,000",,"Feb 10, 2023","Jun 30, 2024",2.0,"€ 7,060,000",,F,,25.0,Starter,Spain,,,Real Sociedad,La Liga,2022-2023,LW,,,,,,,,,,,,
392,Igor Zubeldia,"€ 65,769","€ 3,420,000",,"Jun 29, 2018","Jun 30, 2024",2.0,"€ 6,840,000",,D,,25.0,Starter,Spain,,,Real Sociedad,La Liga,2022-2023,CB,,,,,,,,,,,,
393,Alexander Sörloth,"€ 61,154","€ 3,180,000",,"Aug 29, 2022","Jun 30, 2023",1.0,"€ 3,180,000",,F,,27.0,Starter,Norway,,,Real Sociedad,La Liga,2022-2023,CF,,,,,,,,,,,,
394,Martín Zubimendi,"€ 57,692","€ 3,000,000",,"Oct 14, 2022","Jun 30, 2027",5.0,"€ 15,000,000","€ 60,000,000",M,,23.0,Starter,Spain,,,Real Sociedad,La Liga,2022-2023,DM,,,,,,,,,,,,
395,David Silva,"€ 55,769","€ 2,900,000",,"Apr 29, 2022","Jun 30, 2023",1.0,"€ 2,900,000",,F,,37.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,AM,,,,,,,,,,,,
396,Álex Remiro,"€ 42,885","€ 2,230,000",,"Jun 29, 2022","Jun 30, 2027",5.0,"€ 11,150,000",,K,,27.0,Starter,Spain,,,Real Sociedad,La Liga,2022-2023,GK,,,,,,,,,,,,
397,Aritz Elustondo,"€ 40,577","€ 2,110,000",,"Aug 26, 2020","Jun 30, 2024",2.0,"€ 4,220,000",,D,,28.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,CB,,,,,,,,,,,,
398,Brais Méndez,"€ 40,000","€ 2,080,000",,"Jul 6, 2022","Jun 30, 2028",6.0,"€ 12,480,000",,F,,26.0,Starter,Spain,,,Real Sociedad,La Liga,2022-2023,AM,,,,,,,,,,,,
399,Takefusa Kubo,"€ 39,231","€ 2,040,000",,"Jul 19, 2022","Jun 30, 2027",5.0,"€ 10,200,000","€ 60,000,000",F,,21.0,Starter,Japan,,,Real Sociedad,La Liga,2022-2023,RW,,,,,,,,,,,,
400,Robin Le Normand,"€ 38,462","€ 2,000,000",,"Jul 20, 2022","Jun 30, 2026",4.0,"€ 8,000,000",,D,,26.0,Starter,France,,,Real Sociedad,La Liga,2022-2023,CB,,,,,,,,,,,,
401,Umar Sadiq,"€ 28,846","€ 1,500,000",,"Sep 1, 2022","Jun 30, 2028",6.0,"€ 9,000,000",,F,,25.0,Reserve,Nigeria,,,Real Sociedad,La Liga,2022-2023,CF,,,,,,,,,,,,
402,Carlos Fernández,"€ 20,000","€ 1,040,000",,"Jan 24, 2021","Jun 30, 2026",4.0,"€ 4,160,000",,F,,26.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,CF,,,,,,,,,,,,
403,Aihen Muñoz,"€ 19,038","€ 990,000",,"Dec 13, 2021","Jun 30, 2024",2.0,"€ 1,980,000",,D,,25.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,LB,,,,,,,,,,,,
404,Ander Guevara,"€ 16,731","€ 870,000",,"Jul 1, 2019","Jun 30, 2024",2.0,"€ 1,740,000",,M,,25.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,CM,,,,,,,,,,,,
405,Diego Rico,"€ 16,346","€ 850,000",,"Jul 26, 2021","Jun 30, 2023",1.0,"€ 850,000",,D,,29.0,Starter,Spain,,,Real Sociedad,La Liga,2022-2023,LB,,,,,,,,,,,,
406,Andoni Gorosabel,"€ 13,462","€ 700,000",,"Jun 9, 2020","Jun 30, 2024",2.0,"€ 1,400,000",,D,,26.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,RB,,,,,,,,,,,,
407,Beñat Turrientes,"€ 10,385","€ 540,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 2,700,000",,M,,21.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,CM,,,,,,,,,,,,
408,Martín Merquelanz,"€ 9,615","€ 500,000",,"Aug 14, 2018","Jun 30, 2025",3.0,"€ 1,500,000",,F,,27.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,LW,,,,,,,,,,,,
409,Jon Pacheco,"€ 8,269","€ 430,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 2,150,000",,D,,22.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,CB,,,,,,,,,,,,
410,Robert Navarro,"€ 8,077","€ 420,000",,"Aug 7, 2022","Jun 30, 2027",5.0,"€ 2,100,000",,F,,20.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,AM,,,,,,,,,,,,
411,Ander Barrenetxea,"€ 5,962","€ 310,000",,"Feb 3, 2021","Jun 30, 2027",5.0,"€ 1,550,000",,F,,21.0,Starter,Spain,,,Real Sociedad,La Liga,2022-2023,LW,,,,,,,,,,,,
412,Álex Sola,"€ 5,962","€ 310,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 1,240,000",,D,,23.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,RB,,,,,,,,,,,,
413,Mohamed-Ali Cho,"€ 5,385","€ 280,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 1,400,000",,F,,19.0,Reserve,France,,,Real Sociedad,La Liga,2022-2023,CF,,,,,,,,,,,,
414,Andoni Zubiaurre,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 480,000",,K,,26.0,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023,GK,,,,,,,,,,,,
415,Total,"€ 841,155","€ 43,740,000",€ 0,,,,"€ 129,370,000","€ 120,000,000",,,,,,,,Real Sociedad,La Liga,2022-2023,,,,,,,,,,,,,
416,Ivan Rakitic,"€ 253,846","€ 13,200,000",,"Sep 1, 2020",,,"€ 26,400,000",,M,,34.0,Reserve,Croatia,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2024",2.0,CM,,,,,,,,
417,Óliver Torres,"€ 143,269","€ 7,450,000",,"Jul 15, 2019",,,"€ 14,900,000",,M,,28.0,Starter,Spain,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2024",2.0,CM,,,,,,,,
418,Youssef En-Nesyri,"€ 123,462","€ 6,420,000",,"Jan 16, 2020",,,"€ 19,260,000",,F,,25.0,Starter,Morocco,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2025",3.0,CF,,,,,,,,
419,Suso,"€ 121,154","€ 6,300,000",,"Jul 21, 2020",,,"€ 18,900,000",,F,,29.0,Starter,Spain,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2025",3.0,RW,,,,,,,,
420,Papu Gómez,"€ 120,192","€ 6,250,000",,"Jan 26, 2021",,,"€ 12,500,000",,F,,34.0,Reserve,Argentina,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2024",2.0,LW,,,,,,,,
421,Fernando,"€ 93,654","€ 4,870,000",,"Jan 4, 2022",,,"€ 9,740,000",,M,,35.0,Starter,Brazil,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2024",2.0,DM,,,,,,,,
422,Joan Jordán,"€ 90,769","€ 4,720,000",,"Jan 27, 2022",,,"€ 23,600,000",,M,,28.0,Reserve,Spain,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2027",5.0,CM,,,,,,,,
423,Marcão,"€ 80,192","€ 4,170,000",,"Jul 8, 2022",,,"€ 20,850,000",,D,,26.0,Reserve,Brazil,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2027",5.0,CB,,,,,,,,
424,Tanguy Nianzou,"€ 80,192","€ 4,170,000",,"Aug 17, 2022",,,"€ 20,850,000","€ 90,000,000",D,,20.0,Starter,France,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2027",5.0,CB,,,,,,,,
425,Alex Telles,"€ 80,192","€ 4,170,000",,"Aug 4, 2022",,,"€ 4,170,000",,D,,30.0,Reserve,Brazil,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2023",1.0,LB,,,,,,,,
426,Jesús Navas,"€ 76,923","€ 4,000,000",,"Jun 23, 2021",,,"€ 8,000,000",,D,,37.0,Starter,Spain,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2024",2.0,RB,,,,,,,,
427,Jesús Corona,"€ 67,308","€ 3,500,000",,"Jan 14, 2022",,,"€ 10,500,000",,F,,30.0,Reserve,Mexico,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2025",3.0,RW,,,,,,,,
428,Marcos Acuña,"€ 54,615","€ 2,840,000",,"Feb 13, 2022",,,"€ 8,520,000",,D,,31.0,Reserve,Argentina,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2025",3.0,LB,,,,,,,,
429,Bono,"€ 52,885","€ 2,750,000",,"Apr 19, 2022",,,"€ 8,250,000","€ 30,000,000",K,,31.0,Starter,Morocco,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2025",3.0,GK,,,,,,,,
430,Nemanja Gudelj,"€ 50,769","€ 2,640,000",,"Jul 23, 2019",,,"€ 2,640,000",,M,,31.0,Starter,Serbia,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2023",1.0,DM,,,,,,,,
431,Erik Lamela,"€ 50,577","€ 2,630,000",,"Jul 26, 2021",,,"€ 5,260,000",,F,,30.0,Reserve,Argentina,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2024",2.0,RW,,,,,,,,
432,Bryan Gil,"€ 44,423","€ 2,310,000",,"Jan 30, 2023",,,"€ 2,310,000",,F,,21.0,Starter,Spain,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2023",1.0,LW,,,,,,,,
433,Lucas Ocampos,"€ 30,769","€ 1,600,000",,"Jul 3, 2019",,,"€ 3,200,000",,F,,28.0,Reserve,Argentina,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2024",2.0,LW,,,,,,,,
434,Loïc Badé,"€ 30,192","€ 1,570,000",,"Jan 1, 2023",,,"€ 1,570,000",,D,,22.0,Starter,France,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2023",1.0,CB,,,,,,,,
435,Gonzalo Montiel,"€ 27,115","€ 1,410,000",,"Aug 13, 2021",,,"€ 5,640,000",,D,,26.0,Reserve,Argentina,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2026",4.0,RB,,,,,,,,
436,Karim Rekik,"€ 25,192","€ 1,310,000",,"Oct 5, 2020",,,"€ 3,930,000",,D,,28.0,Reserve,Netherlands,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2025",3.0,CB,,,,,,,,
437,Rafa Mir,"€ 24,231","€ 1,260,000",,"Aug 20, 2021",,,"€ 6,300,000",,F,,25.0,Reserve,Spain,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2027",5.0,CF,,,,,,,,
438,Marko Dmitrović,"€ 18,269","€ 950,000",,"Jul 4, 2021",,,"€ 2,850,000",,K,,31.0,Reserve,Serbia,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2025",3.0,GK,,,,,,,,
439,Pape Gueye,"€ 2,692","€ 140,000",,"Jan 30, 2023",,,"€ 140,000",,M,,24.0,Starter,Senegal,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2023",1.0,DM,,,,,,,,
440,Adnan Januzaj,€ 0,€ 0,,"Aug 31, 2022",,,€ 0,,F,,27.0,Reserve,Belgium,,,Sevilla,La Liga,2022-2023,,,"Jun 30, 2026",4.0,RW,,,,,,,,
441,Total,"€ 1,742,882","€ 90,630,000",€ 0,,,,"€ 240,280,000","€ 120,000,000",,,,,,,,Sevilla,La Liga,2022-2023,,,,,,,,,,,,,
442,José Gayà,"€ 112,115","€ 5,830,000",,"Oct 19, 2022","Jun 30, 2027",5.0,"€ 29,150,000","€ 100,000,000",D,,27.0,Starter,Spain,,,Valencia,La Liga,2022-2023,,,,,LB,,,,,,,,
443,Gabriel Paulista,"€ 102,500","€ 5,330,000",,"Jan 22, 2021","Jun 30, 2024",2.0,"€ 10,660,000",,D,,32.0,Reserve,Brazil,,,Valencia,La Liga,2022-2023,,,,,CB,,,,,,,,
444,Edinson Cavani,"€ 80,192","€ 4,170,000",,"Aug 29, 2022","Jun 30, 2024",2.0,"€ 8,340,000",,F,,35.0,Starter,Uruguay,,,Valencia,La Liga,2022-2023,,,,,CF,,,,,,,,
445,Justin Kluivert,"€ 72,115","€ 3,750,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 3,750,000",,F,,23.0,Reserve,Netherlands,,,Valencia,La Liga,2022-2023,,,,,LW,,,,,,,,
446,Hugo Duro,"€ 55,577","€ 2,890,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 11,560,000",,F,,23.0,Reserve,Spain,,,Valencia,La Liga,2022-2023,,,,,CF,,,,,,,,
447,Samu Castillejo,"€ 48,077","€ 2,500,000",,"Jul 12, 2022","Jun 30, 2025",3.0,"€ 7,500,000",,F,,28.0,Starter,Spain,,,Valencia,La Liga,2022-2023,,,,,RW,,,,,,,,
448,Jaume Doménech,"€ 40,577","€ 2,110,000",,"Nov 14, 2019","Jun 30, 2025",3.0,"€ 6,330,000",,K,,32.0,Reserve,Spain,,,Valencia,La Liga,2022-2023,,,,,GK,,,,,,,,
449,Marcos André,"€ 38,462","€ 2,000,000",,"Aug 25, 2021","Jun 30, 2026",4.0,"€ 8,000,000",,F,,26.0,Reserve,Brazil,,,Valencia,La Liga,2022-2023,,,,,CF,,,,,,,,
450,Hugo Guillamón,"€ 36,923","€ 1,920,000",,"Oct 3, 2022","Jun 30, 2026",4.0,"€ 7,680,000","€ 50,000,000",M,,23.0,Reserve,Spain,,,Valencia,La Liga,2022-2023,,,,,DM,,,,,,,,
451,Dimitri Foulquier,"€ 35,962","€ 1,870,000",,"Aug 30, 2021","Jun 30, 2025",3.0,"€ 5,610,000",,D,,29.0,Starter,Guadeloupe,,,Valencia,La Liga,2022-2023,,,,,RB,,,,,,,,
452,Thierry Correia,"€ 35,385","€ 1,840,000",,"Oct 4, 2021","Jun 30, 2026",4.0,"€ 7,360,000",,D,,23.0,Reserve,Portugal,,,Valencia,La Liga,2022-2023,,,,,RB,,,,,,,,
453,Toni Lato,"€ 33,846","€ 1,760,000",,"Jul 5, 2019","Jun 30, 2023",1.0,"€ 1,760,000",,D,,25.0,Reserve,Spain,,,Valencia,La Liga,2022-2023,,,,,LB,,,,,,,,
