,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBSS,Pos. CBCFCMDMGKLBLWRB,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLMRBRW,Pos. AMCBCFCMDMGKLBLMRBRMSS,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Pos. CBCFCMDMGKLBLMLWRBRW,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Pos. CBCFCMDMGKLBRBRM,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLWRBRW,Pos. AMCBCFCMDMGKLBRBRW
82,Orji Okwonkwo,"€ 1,731","€ 90,000",,"Dec 1, 2016","Jun 30, 2024",2.0,"€ 180,000",,F,RW,25.0,Reserve,Nigeria,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
83,Antonio Raimondo,"€ 1,731","€ 90,000",,"May 10, 2022","Jun 30, 2027",5.0,"€ 450,000",,F,CF,18.0,Reserve,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
84,Nicola Bagnolini,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 240,000",,K,GK,18.0,Reserve,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
85,Federico Ravaglia,"€ 1,154","€ 60,000",,"Aug 4, 2020","Jun 30, 2026",4.0,"€ 240,000",,K,GK,23.0,Reserve,Italy,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
86,Wisdom Amey,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 180,000",,D,CB,17.0,Reserve,Togo,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
87,Total,"€ 626,926","€ 32,600,000",€ 0,,,,"€ 67,970,000",€ 0,,,,,,,,Bologna,Serie A,2022-2023,,,,,,,,,,,,,,,,,
88,Marco Benassi,"€ 46,346","€ 2,410,000",,"Jan 19, 2023","Jun 30, 2023",1.0,"€ 2,410,000",,M,,28.0,Starter,Italy,,,Cremonese,Serie A,2022-2023,,CM,,,,,,,,,,,,,,,
89,Soualiho Meïté,"€ 39,231","€ 2,040,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 2,040,000",,M,,28.0,Starter,France,,,Cremonese,Serie A,2022-2023,,CM,,,,,,,,,,,,,,,
90,Vlad Chiriches,"€ 23,077","€ 1,200,000",,"Jul 8, 2022","Jun 30, 2023",1.0,"€ 1,200,000",,D,,33.0,Starter,Romania,,,Cremonese,Serie A,2022-2023,,CB,,,,,,,,,,,,,,,
91,Cyriel Dessers,"€ 20,962","€ 1,090,000",,"Aug 10, 2022","Jun 30, 2027",5.0,"€ 5,450,000",,F,,28.0,Starter,Nigeria,,,Cremonese,Serie A,2022-2023,,CF,,,,,,,,,,,,,,,
92,David Okereke,"€ 19,808","€ 1,030,000",,"Jul 28, 2022","Jun 30, 2025",3.0,"€ 3,090,000",,F,,25.0,Starter,Nigeria,,,Cremonese,Serie A,2022-2023,,CF,,,,,,,,,,,,,,,
93,Charles Pickel,"€ 19,808","€ 1,030,000",,"Jul 22, 2022","Jun 30, 2026",4.0,"€ 4,120,000",,M,,25.0,Starter,Switzerland,,,Cremonese,Serie A,2022-2023,,DM,,,,,,,,,,,,,,,
94,Paolo Ghiglione,"€ 17,885","€ 930,000",,"Jul 17, 2022","Jun 30, 2025",3.0,"€ 2,790,000",,D,,25.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,RB,,,,,,,,,,,,,,,
95,Luka Lochoshvili,"€ 17,308","€ 900,000",,"Aug 10, 2022","Jun 30, 2023",1.0,"€ 900,000",,D,,24.0,Reserve,Georgia,,,Cremonese,Serie A,2022-2023,,CB,,,,,,,,,,,,,,,
96,Daniel Ciofani,"€ 14,615","€ 760,000",,"Dec 27, 2021","Jun 30, 2023",1.0,"€ 760,000",,F,,37.0,Reserve,Italy,,,Cremonese,Serie A,2022-2023,,CF,,,,,,,,,,,,,,,
