,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBSS,Pos. CBCFCMDMGKLBLWRB,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLMRBRW,Pos. AMCBCFCMDMGKLBLMRBRMSS,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Pos. CBCFCMDMGKLBLMLWRBRW,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Pos. CBCFCMDMGKLBRBRM,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLWRBRW,Pos. AMCBCFCMDMGKLBRBRW
438,Grigoris Kastanos,"€ 3,654","€ 190,000",,"Aug 2, 2022","Jun 30, 2026",4.0,"€ 760,000",,M,,25.0,Reserve,Cyprus,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CM,,,,,
439,Antonio Pio Iervolino,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 120,000",,M,,19.0,Reserve,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CM,,,,,
440,Total,"€ 665,576","€ 34,610,000","€ 370,000",,,,"€ 81,140,000",€ 0,,,,,,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,,,,,,
441,Andrea Conti,"€ 71,154","€ 3,700,000",,"Feb 10, 2022",,,"€ 11,100,000",,D,,28.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,RB,,
442,Emil Audero,"€ 28,462","€ 1,480,000",,"Mar 16, 2021",,,"€ 5,920,000",,K,,26.0,Starter,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2026",4.0,GK,,
443,Filip Djuricic,"€ 28,462","€ 1,480,000",,"Aug 1, 2022",,,"€ 2,960,000",,F,,31.0,Starter,Serbia,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,AM,,
444,Manolo Gabbiadini,"€ 27,115","€ 1,410,000",,"Mar 23, 2021",,,"€ 5,640,000",,F,,31.0,Starter,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2026",4.0,CF,,
445,Jeison Murillo,"€ 27,115","€ 1,410,000",,"Jan 14, 2020",,,"€ 1,410,000",,D,,30.0,Reserve,Colombia,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,CB,,
446,Nicola Murru,"€ 25,000","€ 1,300,000",,"Feb 10, 2020",,,"€ 2,600,000",,D,,28.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,LB,,
447,Tomás Rincón,"€ 25,000","€ 1,300,000",,"Jul 5, 2022",,,"€ 1,300,000",,M,,35.0,Reserve,Venezuela,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,DM,,
448,Harry Winks,"€ 23,269","€ 1,210,000",,"Aug 30, 2022",,,"€ 1,210,000",,M,,26.0,Starter,England,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,DM,,
449,Koray Günter,"€ 21,346","€ 1,110,000",,"Jan 31, 2023",,,"€ 1,110,000",,D,,28.0,Starter,Germany,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,CB,,
450,Bram Nuytinck,"€ 21,346","€ 1,110,000",,"Jan 2, 2023",,,"€ 1,110,000",,D,,32.0,Starter,Netherlands,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,CB,,
451,Sam Lammers,"€ 19,808","€ 1,030,000",,"Jan 2, 2023",,,"€ 1,030,000",,F,,25.0,Starter,Netherlands,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,CF,,
452,Fabio Quagliarella,"€ 17,885","€ 930,000",,"Jul 4, 2022",,,"€ 930,000",,F,,40.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,CF,,
453,Ignacio Pussetto,"€ 17,885","€ 930,000",,"Sep 1, 2022",,,"€ 930,000",,F,,27.0,Reserve,Argentina,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,RW,,
454,Alessandro Zanoli,"€ 14,231","€ 740,000",,"Jan 6, 2023",,,"€ 740,000",,D,,22.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,RB,,
455,Jesé,"€ 12,308","€ 640,000","€ 640,000","Feb 10, 2023",,,"€ 640,000",,F,,29.0,Reserve,Spain,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,LW,,
456,Mehdi Léris,"€ 10,000","€ 520,000",,"Aug 12, 2019",,,"€ 1,040,000",,F,,24.0,Starter,Algeria,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,RW,,
457,Michaël Cuisance,"€ 9,808","€ 510,000",,"Jan 30, 2023",,,"€ 510,000",,M,,23.0,Starter,France,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,CM,,
458,Tommaso Augello,"€ 8,846","€ 460,000",,"Dec 29, 2020",,,"€ 1,380,000",,D,,28.0,Starter,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,LB,,
459,Emirhan Ilkhan,"€ 6,731","€ 350,000",,"Jan 31, 2023",,,"€ 350,000",,M,,18.0,Reserve,Turkey,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,CM,,
460,Marios Oikonomou,"€ 5,000","€ 260,000",,"Feb 17, 2023",,,"€ 260,000",,D,,30.0,Reserve,Greece,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,CB,,
461,Lorenzo Malagrida,"€ 3,654","€ 190,000",,"Sep 21, 2022",,,"€ 570,000",,M,,19.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,LM,,
462,Nicola Ravaglia,"€ 3,654","€ 190,000",,"Nov 25, 2021",,,"€ 380,000",,K,,34.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,GK,,
463,Simone Trimboli,"€ 2,885","€ 150,000",,"Oct 8, 2021",,,"€ 300,000",,M,,20.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,CM,,
464,Gerard Yepes,"€ 2,885","€ 150,000",,"Jul 5, 2022",,,"€ 450,000",,M,,20.0,Reserve,Spain,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,DM,,
465,Bruno Amione,"€ 2,500","€ 130,000",,"Sep 1, 2022",,,"€ 130,000",,D,,21.0,Starter,Argentina,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,CB,,
466,Abdelhamid Sabiri,"€ 2,115","€ 110,000",,"Jul 1, 2022",,,"€ 110,000",,F,,26.0,Reserve,Morocco,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,AM,,
467,Daniele Montevago,"€ 1,731","€ 90,000",,"Jan 17, 2022",,,"€ 270,000",,F,,19.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,CF,,
468,Manuel De Luca,"€ 1,346","€ 70,000",,"Aug 11, 2021",,,"€ 210,000",,F,,24.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,CF,,
469,Elia Tantalocchi,"€ 1,154","€ 60,000",,"Jul 8, 2022",,,"€ 60,000",,K,,18.0,Reserve,Italy,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,GK,,
470,Martin Turk,€ 769,"€ 40,000",,"Jan 13, 2023",,,"€ 40,000",,K,,19.0,Reserve,Slovenia,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,GK,,
471,Bartosz Bereszynski,€ 0,€ 0,,"Jan 7, 2023",,,€ 0,,D,,30.0,Reserve,Poland,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,RB,,
472,Total,"€ 443,464","€ 23,060,000","€ 640,000",,,,"€ 44,690,000",€ 0,,,,,,,,Sampdoria,Serie A,2022-2023,,,,,,,,,,,,,,,,,
473,Domenico Berardi,"€ 106,923","€ 5,560,000",,"Aug 17, 2022","Jun 30, 2027",5.0,"€ 27,800,000",,F,RW,28.0,Starter,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
474,Andrea Pinamonti,"€ 85,385","€ 4,440,000",,"Aug 11, 2022","Jun 30, 2023",1.0,"€ 4,440,000",,F,CF,23.0,Reserve,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
475,Andrea Consigli,"€ 35,577","€ 1,850,000",,"Nov 3, 2021","Jun 30, 2024",2.0,"€ 3,700,000",,K,GK,36.0,Starter,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
476,Grégoire Defrel,"€ 30,192","€ 1,570,000",,"Sep 1, 2020","Jun 30, 2024",2.0,"€ 3,140,000",,F,CF,31.0,Starter,Martinique,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
477,Nedim Bajrami,"€ 29,615","€ 1,540,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 1,540,000",,F,AM,23.0,Reserve,Albania,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
478,Davide Frattesi,"€ 25,000","€ 1,300,000",,"Mar 17, 2022","Jun 30, 2026",4.0,"€ 5,200,000",,M,CM,23.0,Starter,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
479,Rogério,"€ 25,000","€ 1,300,000",,"Jul 1, 2019","Jun 30, 2024",2.0,"€ 2,600,000",,D,LB,25.0,Reserve,Brazil,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
480,Agustín Álvarez,"€ 24,615","€ 1,280,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 6,400,000",,F,CF,21.0,Reserve,Uruguay,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
481,Armand Laurienté,"€ 22,115","€ 1,150,000",,"Aug 31, 2022","Jun 30, 2027",5.0,"€ 5,750,000",,F,LW,24.0,Starter,France,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
482,Gian Marco Ferrari,"€ 21,346","€ 1,110,000",,"Aug 30, 2016","Jun 30, 2024",2.0,"€ 2,220,000",,D,CB,30.0,Reserve,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
483,Pedro Obiang,"€ 20,962","€ 1,090,000",,"Jul 24, 2019","Jun 30, 2023",1.0,"€ 1,090,000",,M,CM,30.0,Starter,Equatorial Guinea,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
484,Gianluca Pegolo,"€ 17,885","€ 930,000",,"Jun 15, 2022","Jun 30, 2023",1.0,"€ 930,000",,K,GK,41.0,Reserve,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
485,Riccardo Marchizza,"€ 17,885","€ 930,000",,"Jul 13, 2017","Jun 30, 2025",3.0,"€ 2,790,000",,D,LB,24.0,Starter,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
486,Jeremy Toljan,"€ 17,308","€ 900,000",,"Jul 1, 2021","Jun 30, 2025",3.0,"€ 2,700,000",,D,RB,28.0,Reserve,Germany,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
487,Maxime López,"€ 14,808","€ 770,000",,"Apr 12, 2021","Jun 30, 2025",3.0,"€ 2,310,000",,M,DM,25.0,Reserve,France,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
488,Kristian Thorstvedt,"€ 14,808","€ 770,000",,"Jul 12, 2022","Jun 30, 2027",5.0,"€ 3,850,000",,F,AM,23.0,Reserve,Norway,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
489,Filippo Romagna,"€ 14,231","€ 740,000",,"Sep 17, 2020","Jun 30, 2024",2.0,"€ 1,480,000",,D,CB,25.0,Reserve,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
490,Matheus Henrique,"€ 10,962","€ 570,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 2,280,000",,M,CM,25.0,Starter,Brazil,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
491,Mert Müldür,"€ 9,808","€ 510,000",,"Aug 20, 2019","Jun 30, 2024",2.0,"€ 1,020,000",,D,RB,23.0,Reserve,Turkey,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
492,Ruan,"€ 9,423","€ 490,000",,"Aug 11, 2021","Jun 30, 2026",4.0,"€ 1,960,000",,D,CB,23.0,Starter,Brazil,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
493,Luca D'Andrea,"€ 7,115","€ 370,000",,"Jan 2, 2023","Jun 30, 2027",5.0,"€ 1,850,000",,F,RW,18.0,Reserve,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
494,Nadir Zortea,"€ 6,346","€ 330,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 330,000",,D,RB,23.0,Starter,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
495,Martin Erlic,"€ 5,385","€ 280,000",,"Aug 31, 2021","Jun 30, 2026",4.0,"€ 1,120,000",,D,CB,25.0,Starter,Croatia,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
496,Brian Oddei,"€ 3,654","€ 190,000",,"Jun 29, 2021","Jun 30, 2024",2.0,"€ 380,000",,F,RW,20.0,Reserve,Ghana,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
497,Abdou Harroui,"€ 2,308","€ 120,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 120,000",,M,CM,25.0,Reserve,Morocco,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
498,Alessandro Russo,"€ 2,115","€ 110,000",,"Jul 26, 2019","Jun 30, 2024",2.0,"€ 220,000",,K,GK,21.0,Reserve,Italy,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
499,Emil Konradsen Ceide,"€ 1,923","€ 100,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 400,000",,F,LW,21.0,Reserve,Norway,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
500,Total,"€ 582,694","€ 30,300,000",€ 0,,,,"€ 87,620,000",€ 0,,,,,,,,Sassuolo,Serie A,2022-2023,,,,,,,,,,,,,,,,,
501,Viktor Kovalenko,"€ 71,154","€ 3,700,000",,"Aug 2, 2022","Jun 30, 2023",1.0,"€ 3,700,000",,F,AM,26.0,Reserve,Ukraine,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
502,Eldor Shomurodov,"€ 36,923","€ 1,920,000",,"Jan 30, 2023","Jun 30, 2023",1.0,"€ 1,920,000",,F,CF,27.0,Starter,Uzbekistan,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
503,Dimitrios Nikolaou,"€ 32,115","€ 1,670,000",,"Aug 9, 2021","Jun 30, 2026",4.0,"€ 6,680,000",,D,CB,24.0,Starter,Greece,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
504,Szymon Zurkowski,"€ 32,115","€ 1,670,000",,"Jan 12, 2023","Jun 30, 2023",1.0,"€ 1,670,000",,M,CM,25.0,Reserve,Poland,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
505,Albin Ekdal,"€ 28,462","€ 1,480,000",,"Jul 13, 2022","Jun 30, 2024",2.0,"€ 2,960,000",,M,DM,33.0,Reserve,Sweden,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
506,Bartlomiej Dragowski,"€ 25,000","€ 1,300,000",,"Aug 10, 2022","Jun 30, 2025",3.0,"€ 3,900,000","€ 8,000,000",K,GK,25.0,Starter,Poland,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
507,Jeroen Zoet,"€ 24,615","€ 1,280,000",,"May 20, 2022","Jun 30, 2024",2.0,"€ 2,560,000",,K,GK,32.0,Reserve,Netherlands,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
508,Mattia Caldara,"€ 23,077","€ 1,200,000",,"Jul 17, 2022","Jun 30, 2023",1.0,"€ 1,200,000",,D,CB,28.0,Reserve,Italy,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
509,Arkadiusz Reca,"€ 22,115","€ 1,150,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 3,450,000",,D,LB,27.0,Starter,Poland,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
510,Mehdi Bourabia,"€ 21,346","€ 1,110,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 2,220,000",,M,DM,31.0,Starter,Morocco,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
511,M'Bala Nzola,"€ 19,615","€ 1,020,000","€ 370,000","Oct 7, 2020","Jun 30, 2024",2.0,"€ 2,040,000",,F,CF,26.0,Reserve,Angola,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
512,Salvatore Esposito,"€ 15,962","€ 830,000",,"Jan 6, 2023","Jun 30, 2023",1.0,"€ 830,000",,M,DM,22.0,Starter,Italy,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
513,Kevin Agudelo,"€ 14,231","€ 740,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 2,220,000",,F,AM,24.0,Starter,Colombia,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
514,Jacopo Sala,"€ 14,231","€ 740,000",,"Jul 4, 2022","Jun 30, 2024",2.0,"€ 1,480,000",,M,CM,31.0,Reserve,Italy,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
515,Daniele Verde,"€ 14,231","€ 740,000",,"Jan 21, 2022","Jun 30, 2025",3.0,"€ 2,220,000",,F,RW,26.0,Starter,Italy,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
516,Kelvin Amian,"€ 13,654","€ 710,000",,"Jul 22, 2021","Jun 30, 2025",3.0,"€ 2,130,000",,D,RB,24.0,Starter,France,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
517,Daniel Maldini,"€ 10,769","€ 560,000",,"Jul 29, 2022","Jun 30, 2023",1.0,"€ 560,000",,F,AM,21.0,Reserve,Italy,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
518,Przemyslaw Wisniewski,"€ 9,808","€ 510,000",,"Jan 25, 2023","Jun 30, 2027",5.0,"€ 2,550,000",,D,CB,24.0,Starter,Poland,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
519,Ethan Ampadu,"€ 8,654","€ 450,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 450,000",,D,CB,22.0,Reserve,Wales,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
520,Raimonds Krollis,"€ 7,692","€ 400,000","€ 100,000","Jan 20, 2023","Jun 30, 2026",4.0,"€ 1,600,000",,F,CF,21.0,Reserve,Latvia,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
521,João Moutinho,"€ 7,308","€ 380,000",,"Jan 2, 2023","Jun 30, 2026",4.0,"€ 1,520,000",,D,LB,25.0,Reserve,Portugal,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
522,Federico Marchetti,"€ 7,115","€ 370,000",,"Jan 21, 2023","Jun 30, 2023",1.0,"€ 370,000",,K,GK,39.0,Reserve,Italy,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
523,Salva Ferrer,"€ 6,154","€ 320,000",,"May 20, 2022","Jun 30, 2025",3.0,"€ 960,000",,D,RB,25.0,Reserve,Spain,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
524,Petar Zovko,"€ 5,385","€ 280,000",,"Jul 12, 2021","Jun 30, 2024",2.0,"€ 560,000",,K,GK,20.0,Reserve,Bosnia-Herzegovina,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
525,Emil Holm,"€ 5,000","€ 260,000",,"Aug 26, 2021","Jun 30, 2026",4.0,"€ 1,040,000",,D,RB,22.0,Reserve,Sweden,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
526,Emmanuel Gyasi,"€ 3,654","€ 190,000",,"Mar 2, 2022","Jun 30, 2025",3.0,"€ 570,000",,F,LW,29.0,Starter,Ghana,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
527,Simone Bastoni,"€ 3,654","€ 190,000",,"Aug 30, 2021","Jun 30, 2025",3.0,"€ 570,000",,M,CM,26.0,Reserve,Italy,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
528,Tio Cipot,"€ 3,654","€ 190,000",,"Jan 19, 2023","Jun 30, 2027",5.0,"€ 950,000",,M,CM,19.0,Reserve,Slovenia,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
529,Julius Beck,€ 577,"€ 30,000",,"Aug 1, 2022","Jun 30, 2024",2.0,"€ 60,000",,M,CM,17.0,Reserve,Denmark,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
530,Total,"€ 488,270","€ 25,390,000","€ 470,000",,,,"€ 52,940,000","€ 8,000,000",,,,,,,,Spezia,Serie A,2022-2023,,,,,,,,,,,,,,,,,
531,Nikola Vlasic,"€ 61,731","€ 3,210,000",,"Aug 11, 2022",,,"€ 3,210,000",,F,,25.0,Starter,Croatia,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,AM,
532,Antonio Sanabria,"€ 56,923","€ 2,960,000",,"Jan 31, 2021",,,"€ 8,880,000",,F,,26.0,Starter,Paraguay,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,,CF,
533,Aleksey Miranchuk,"€ 53,462","€ 2,780,000",,"Aug 11, 2022",,,"€ 2,780,000",,F,,27.0,Starter,Russia,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,AM,
534,Ricardo Rodríguez,"€ 53,462","€ 2,780,000",,"Sep 1, 2020",,,"€ 5,560,000",,D,,30.0,Starter,Switzerland,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,,CB,
535,Karol Linetty,"€ 49,808","€ 2,590,000",,"Sep 1, 2020",,,"€ 5,180,000",,M,,27.0,Starter,Poland,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,,CM,
536,Valentino Lazaro,"€ 36,923","€ 1,920,000",,"Aug 1, 2022",,,"€ 1,920,000",,D,,26.0,Reserve,Austria,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,RB,
537,Yann Karamoh,"€ 35,577","€ 1,850,000",,"Sep 1, 2022",,,"€ 1,850,000",,F,,24.0,Reserve,Cote d'Ivoire,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,LW,
538,Etrit Berisha,"€ 35,577","€ 1,850,000",,"Jul 1, 2022",,,"€ 3,700,000",,K,,33.0,Reserve,Albania,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,,GK,
539,Ola Aina,"€ 35,577","€ 1,850,000",,"Jul 1, 2019",,,"€ 1,850,000",,D,,26.0,Reserve,Nigeria,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,RB,
540,Samuele Ricci,"€ 35,577","€ 1,850,000",,"Jul 1, 2022",,,"€ 1,850,000",,M,,21.0,Reserve,Italy,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,DM,
541,Perr Schuurs,"€ 34,423","€ 1,790,000",,"Aug 18, 2022",,,"€ 7,160,000",,D,,23.0,Starter,Netherlands,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2026",4.0,,CB,
542,Ivan Ilić,"€ 29,615","€ 1,540,000",,"Jan 30, 2023",,,"€ 1,540,000",,M,,21.0,Reserve,Serbia,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,CM,
543,Pietro Pellegri,"€ 24,615","€ 1,280,000",,"Jul 1, 2022",,,"€ 3,840,000",,F,,21.0,Reserve,Italy,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,,CF,
544,Ronaldo Vieira,"€ 21,346","€ 1,110,000",,"Jan 31, 2023",,,"€ 1,110,000",,M,,24.0,Reserve,England,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,CM,
545,Nemanja Radonjić,"€ 19,808","€ 1,030,000",,"Jul 7, 2022",,,"€ 1,030,000",,F,,26.0,Reserve,Serbia,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2023",1.0,,LW,
546,Mërgim Vojvoda,"€ 17,308","€ 900,000",,"Sep 1, 2020",,,"€ 1,800,000",,D,,28.0,Reserve,Kosovo,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,,RB,
547,Demba Seck,"€ 14,231","€ 740,000",,"Jan 31, 2022",,,"€ 2,960,000",,F,,21.0,Reserve,Senegal,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2026",4.0,,RW,
548,Vanja Milinković-Savić,"€ 14,231","€ 740,000",,"Jun 15, 2021",,,"€ 1,480,000",,K,,25.0,Starter,Serbia,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2024",2.0,,GK,
549,David Zima,"€ 12,308","€ 640,000",,"Aug 31, 2021",,,"€ 1,920,000",,D,,22.0,Reserve,Czech Republic,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2025",3.0,,CB,
550,Brian Bayeye,"€ 10,769","€ 560,000",,"Jul 4, 2022",,,"€ 2,240,000",,D,,22.0,Reserve,France,,,Torino,Serie A,2022-2023,,,,,,,,,,,,,"Jun 30, 2026",4.0,,RB,
